ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.INTERNET]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.CHANGE_WIFI_STATE]-[android.permission.ACCESS_WIFI_STATE]-[android.permission.READ_PHONE_STATE]-[android.permission.WRITE_EXTERNAL_STORAGE]-[android.permission.READ_EXTERNAL_STORAGE]-[com.ismaker.android.simsimi.permission.C2D_MESSAGE]-[com.google.android.c2dm.permission.RECEIVE]-[android.permission.VIBRATE]-,1,1
startActivity,com/cauly/android/ad/AdLayout$3,android.intent.action.CALL,external,12,28,4
startActivity,com/ismaker/android/simsimi/ReviewActivity$6,com/ismaker/android/simsimi/auth/AuthSNSLoginActivity,external,211,436,83
startActivity,com/ismaker/android/simsimi/ReviewActivity,com/ismaker/android/simsimi/ViewFlipperActivity,external,211,436,86
startActivityForResult,com/ismaker/android/simsimi/ReviewActivity,com/ismaker/android/simsimi/ViewFlipperActivity,external,211,436,86
startActivity,com/ismaker/android/simsimi/ShareActivity,com/ismaker/android/simsimi/WebPopupActivity,external,211,445,94
startActivity,com/ismaker/android/simsimi/SimsimiWebViewClient,android.intent.action.VIEW,external,211,445,94
startActivity,com/ismaker/android/simsimi/SimsimiWebViewClient,com/ismaker/android/simsimi/auth/AuthSNSLoginActivity,external,211,445,94
startActivity,com/ismaker/android/simsimi/SimsimiWebViewClient,android.intent.action.VIEW,external,211,445,94
startActivity,com/ismaker/android/simsimi/SplashActivity$theAsyncThread$1,com/ismaker/android/simsimi/LanguageActivity,external,211,445,95
startActivityForResult,com/ismaker/android/simsimi/SplashActivity$theAsyncThread$1,com/ismaker/android/simsimi/LanguageActivity,external,211,445,95
startService,com/ismaker/android/simsimi/SplashActivity,sender,external,214,445,95
startActivity,com/ismaker/android/simsimi/SplashActivity,com/ismaker/android/simsimi/LanguageActivity,external,214,527,95
startActivityForResult,com/ismaker/android/simsimi/SplashActivity,com/ismaker/android/simsimi/LanguageActivity,external,214,527,95
startActivity,com/ismaker/android/simsimi/SplashActivity,com/ismaker/android/simsimi/LanguageActivity,external,214,527,95
startActivityForResult,com/ismaker/android/simsimi/SplashActivity,com/ismaker/android/simsimi/LanguageActivity,external,214,527,95
startActivity,com/ismaker/android/simsimi/TeachActivity$2,com/ismaker/android/simsimi/ReviewActivity,external,214,529,99
startActivityForResult,com/ismaker/android/simsimi/TeachActivity$2,com/ismaker/android/simsimi/ReviewActivity,external,214,529,99
startActivity,com/ismaker/android/simsimi/TeachActivity$7,com/ismaker/android/simsimi/auth/AuthSNSLoginActivity,external,214,529,104
startActivity,com/ismaker/android/simsimi/TeachActivity,com/ismaker/android/simsimi/WebPopupActivity,external,214,529,108
startActivity,com/ismaker/android/simsimi/ViewFlipperActivity,com/ismaker/android/simsimi/WarningActivity,external,252,529,114
startActivityForResult,com/ismaker/android/simsimi/ViewFlipperActivity,com/ismaker/android/simsimi/WarningActivity,external,252,529,114
startActivity,com/ismaker/android/simsimi/WarningActivity,com/ismaker/android/simsimi/WebPopupActivity,external,252,529,115
startActivity,com/ismaker/android/simsimi/WarningActivity,com/ismaker/android/simsimi/WebPopupActivity,external,252,529,115
